"sim","scenario","threshold","method","first_crossing","posterior_at_crossing","effect_at_crossing","final_effect","type_m"
2698,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,0.00261039147025122,NA
2698,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,0.00261039147025122,NA
2698,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,0.00261039147025122,NA
2698,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,0.00261039147025122,NA
2699,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750",NA,NA,NA,-0.0100932187879619,NA
2699,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,-0.0100932187879619,NA
2699,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850",NA,NA,NA,-0.0100932187879619,NA
2699,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,-0.0100932187879619,NA
2699,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,-0.0100932187879619,NA
2699,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,-0.0100932187879619,NA
2699,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,-0.0100932187879619,NA
2700,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750",NA,NA,NA,-0.00624031007751941,NA
2700,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,-0.00624031007751941,NA
2700,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850",NA,NA,NA,-0.00624031007751941,NA
2700,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,-0.00624031007751941,NA
2700,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,-0.00624031007751941,NA
2700,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,-0.00624031007751941,NA
2700,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,-0.00624031007751941,NA
2701,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750",NA,NA,NA,0.00498058621665626,NA
2701,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,0.00498058621665626,NA
2701,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850",NA,NA,NA,0.00498058621665626,NA
2701,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,0.00498058621665626,NA
2701,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,0.00498058621665626,NA
2701,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,0.00498058621665626,NA
2701,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,0.00498058621665626,NA
2702,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750",NA,NA,NA,0.00414865277959792,NA
2702,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,0.00414865277959792,NA
2702,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850",NA,NA,NA,0.00414865277959792,NA
2702,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,0.00414865277959792,NA
2702,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,0.00414865277959792,NA
2702,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,0.00414865277959792,NA
2702,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,0.00414865277959792,NA
2703,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750",NA,NA,NA,0.000693197214607644,NA
2703,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,0.000693197214607644,NA
2703,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850",NA,NA,NA,0.000693197214607644,NA
2703,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,0.000693197214607644,NA
2703,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,0.000693197214607644,NA
2703,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,0.000693197214607644,NA
2703,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,0.000693197214607644,NA
2704,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750",NA,NA,NA,-0.0155150139587563,NA
2704,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,-0.0155150139587563,NA
2704,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850",NA,NA,NA,-0.0155150139587563,NA
2704,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,-0.0155150139587563,NA
2704,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,-0.0155150139587563,NA
2704,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,-0.0155150139587563,NA
2704,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,-0.0155150139587563,NA
2705,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750",NA,NA,NA,-0.0108200660228036,NA
2705,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,-0.0108200660228036,NA
2705,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850",NA,NA,NA,-0.0108200660228036,NA
2705,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,-0.0108200660228036,NA
2705,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,-0.0108200660228036,NA
2705,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,-0.0108200660228036,NA
2705,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,-0.0108200660228036,NA
2706,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750",NA,NA,NA,-0.0481313578062805,NA
2706,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,-0.0481313578062805,NA
2706,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850",NA,NA,NA,-0.0481313578062805,NA
2706,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,-0.0481313578062805,NA
2706,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,-0.0481313578062805,NA
2706,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,-0.0481313578062805,NA
2706,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990",NA,NA,NA,-0.0481313578062805,NA
2707,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750",NA,NA,NA,0.0147047116992013,NA
2707,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800",NA,NA,NA,0.0147047116992013,NA
2707,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850",NA,NA,NA,0.0147047116992013,NA
2707,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900",NA,NA,NA,0.0147047116992013,NA
2707,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950",NA,NA,NA,0.0147047116992013,NA
2707,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954",NA,NA,NA,0.0147047116992013,NA
