"sim","mode","first_crossing","peak","final"
87,"correct_conditional",NA,1.22716211372259,0.376824589048232
88,"history_naive",15,9.6768776599975e+285,9.6768776599975e+285
88,"practical_naive",NA,3.70054611029728,0.410862038050263
88,"correct_conditional",NA,5.25257089152676,3.35059024836051
89,"history_naive",14,9.55183028619457e+285,9.55183028619457e+285
89,"practical_naive",NA,1.23416788794723,0.252969708626291
89,"correct_conditional",NA,1.14369011034435,0.394489452973207
90,"history_naive",14,9.67687765999755e+285,9.67687765999755e+285
90,"practical_naive",NA,3.30281414824185,0.658232804787669
90,"correct_conditional",NA,1.62328467092232,0.552420201777267
91,"history_naive",14,9.81337546155741e+285,9.81337546155741e+285
91,"practical_naive",NA,1.01542657709972,0.21338283915611
91,"correct_conditional",NA,1.21202675244185,0.793498625336515
92,"history_naive",14,9.65753358155518e+285,9.65753358155518e+285
92,"practical_naive",NA,1.07398241842861,0.125015189768195
92,"correct_conditional",NA,1.0303483355648,0.184594661202827
93,"history_naive",15,9.59013331701358e+285,9.59013331701358e+285
93,"practical_naive",NA,2.18036222300984,0.214037411626878
93,"correct_conditional",NA,2.08883086151793,0.723607146969498
94,"history_naive",14,9.59013331701366e+285,9.59013331701366e+285
94,"practical_naive",NA,1.22027559543972,0.36342693871225
94,"correct_conditional",NA,1.48318847570317,0.424321173713725
95,"history_naive",14,9.7059664511576e+285,9.7059664511576e+285
95,"practical_naive",NA,1.94824092102804,0.266469264954218
95,"correct_conditional",NA,1.14697115363703,0.337809954544286
96,"history_naive",15,9.71568213329087e+285,9.71568213329087e+285
96,"practical_naive",NA,1.01085610410901,0.20214101485289
96,"correct_conditional",NA,1.2004353703301,0.476324579258191
97,"history_naive",14,7.33797357411437e+285,4.89198238274291e+285
97,"practical_naive",NA,7.49592275631808,0.0382968789789046
97,"correct_conditional",NA,3.04028072296564,0.413211035671693
98,"history_naive",14,7.35267156457192e+285,4.90178104304795e+285
98,"practical_naive",NA,1.25474124364495,0.202279612292401
98,"correct_conditional",NA,2.22599642324294,0.657325651878849
99,"history_naive",14,7.31598165997477e+285,4.87732110664984e+285
99,"practical_naive",NA,6.78192032031768,0.508541392982553
99,"correct_conditional",NA,16.8954302048719,5.42513739693742
100,"history_naive",14,9.56139167787241e+285,9.56139167787241e+285
100,"practical_naive",NA,1.0898832661873,0.224798131483341
100,"correct_conditional",NA,2.36823038380909,0.985860591546605
101,"history_naive",15,7.29405565562377e+285,4.86270377041585e+285
101,"practical_naive",NA,5.56475347032786,0.179941451748953
101,"correct_conditional",NA,2.65711914863139,0.443141520936295
102,"history_naive",15,9.68656422422177e+285,9.68656422422177e+285
102,"practical_naive",NA,1.06490393114077,0.231477962305726
102,"correct_conditional",NA,1.00346153846154,0.286325867795679
103,"history_naive",14,9.69626048470646e+285,9.69626048470646e+285
103,"practical_naive",NA,1,0.349451396891299
103,"correct_conditional",NA,1,0.278940142908763
104,"history_naive",14,9.71568213329089e+285,9.71568213329089e+285
104,"practical_naive",NA,2.05670677920802,0.236908099779866
