"sim","scenario","method","first_crossing","direction","statistic_at_crossing"
14,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",2690,"benefit",2.28644867583579
14,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",2690,"benefit",2.28644867583579
14,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",2690,"benefit",2.28644867583579
14,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2690,"benefit",2.28644867583579
14,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",2690,"benefit",2.28644867583579
14,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",2690,"benefit",2.28644867583579
14,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",2690,"benefit",2.28644867583579
14,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2690,"benefit",2.28644867583579
14,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
14,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA
14,"Alternative: 35% vs 30%","e-RTb mixture two-sided",NA,NA,NA
15,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.35314798029541
15,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",3.35314798029541
15,"Alternative: 35% vs 30%","Haybittle-Peto",1793,"benefit",3.35314798029541
15,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",1793,"benefit",3.35314798029541
15,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",1614,"benefit",3.46917988139151
15,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",3.35314798029541
15,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",1614,"benefit",3.46917988139151
15,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",1793,"benefit",3.35314798029541
15,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",1614,"benefit",3.46917988139151
15,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",1076,"benefit",2.59875885812716
15,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",1614,"benefit",3.46917988139151
15,"Alternative: 35% vs 30%","e-RTb adaptive",1531,"benefit",0.0817006182638766
15,"Alternative: 35% vs 30%","e-RTb design directional",1023,"benefit",0.0786769428387926
15,"Alternative: 35% vs 30%","e-RTb mixture two-sided",1269,"benefit",0.077823428006498
16,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.87935344495018
16,"Alternative: 35% vs 30%","Pocock two-sided",897,"benefit",3.18489673463277
16,"Alternative: 35% vs 30%","Haybittle-Peto",1793,"benefit",3.87935344495018
16,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",1793,"benefit",3.87935344495018
16,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",1076,"benefit",3.47501469327981
16,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",3.87935344495018
16,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",1076,"benefit",3.47501469327981
16,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",1793,"benefit",3.87935344495018
16,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",1076,"benefit",3.47501469327981
16,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",538,"benefit",2.52263857383227
16,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",1076,"benefit",3.47501469327981
16,"Alternative: 35% vs 30%","e-RTb adaptive",538,"benefit",0.10347271438696
16,"Alternative: 35% vs 30%","e-RTb design directional",607,"benefit",0.116605803503094
16,"Alternative: 35% vs 30%","e-RTb mixture two-sided",766,"benefit",0.112484480996509
17,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",2.43166590883846
17,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",2.43166590883846
17,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA
17,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",NA,NA,NA
17,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",2152,"benefit",2.64984139293159
17,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",2.43166590883846
17,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2152,"benefit",2.64984139293159
17,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",NA,NA,NA
17,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",2152,"benefit",2.64984139293159
17,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",2152,"benefit",2.64984139293159
17,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2152,"benefit",2.64984139293159
17,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
17,"Alternative: 35% vs 30%","e-RTb design directional",1768,"benefit",0.0551338802954157
17,"Alternative: 35% vs 30%","e-RTb mixture two-sided",NA,NA,NA
18,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA
18,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA
18,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA
18,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",NA,NA,NA
18,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",NA,NA,NA
18,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",2690,"benefit",1.75758731340707
18,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2690,"benefit",1.75758731340707
18,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",NA,NA,NA
18,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",NA,NA,NA
18,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",NA,NA,NA
18,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2690,"benefit",1.75758731340707
18,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
18,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA
18,"Alternative: 35% vs 30%","e-RTb mixture two-sided",NA,NA,NA
19,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",2.69974676284749
19,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",2.69974676284749
19,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.76257623248091
19,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",1793,"benefit",2.69974676284749
19,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",1614,"benefit",2.91955442957016
19,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",2.69974676284749
19,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",1614,"benefit",2.91955442957016
19,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",1793,"benefit",2.69974676284749
19,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",1614,"benefit",2.91955442957016
19,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",1076,"benefit",2.26858178465714
19,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",1614,"benefit",2.91955442957016
19,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
19,"Alternative: 35% vs 30%","e-RTb design directional",1097,"benefit",0.0729029073103043
19,"Alternative: 35% vs 30%","e-RTb mixture two-sided",1509,"benefit",0.0677783480510714
20,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA
20,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA
20,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA
20,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",NA,NA,NA
20,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",2152,"benefit",2.31779562262255
20,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",2690,"benefit",1.92434358365938
20,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",2152,"benefit",2.31779562262255
20,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",NA,NA,NA
20,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",2152,"benefit",2.31779562262255
20,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",2152,"benefit",2.31779562262255
20,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",2152,"benefit",2.31779562262255
20,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA
20,"Alternative: 35% vs 30%","e-RTb design directional",2114,"benefit",0.0513578938321828
20,"Alternative: 35% vs 30%","e-RTb mixture two-sided",NA,NA,NA
21,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",2.92136290694184
21,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",2.92136290694184
21,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",3.98864566591502
21,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",1793,"benefit",2.92136290694184
21,"Alternative: 35% vs 30%","LD-OBF K5 two-sided a=0.05",1614,"benefit",3.14965649909977
21,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.05",1793,"benefit",2.92136290694184
21,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.05",1614,"benefit",3.14965649909977
21,"Alternative: 35% vs 30%","LD-OBF K3 one-sided a=0.025",1793,"benefit",2.92136290694184
21,"Alternative: 35% vs 30%","LD-OBF K5 one-sided a=0.025",1614,"benefit",3.14965649909977
21,"Alternative: 35% vs 30%","KD rho=1 K5 one-sided a=0.05",538,"benefit",2.74543054506535
21,"Alternative: 35% vs 30%","KD rho=3 K5 one-sided a=0.05",1614,"benefit",3.14965649909977
21,"Alternative: 35% vs 30%","e-RTb adaptive",131,"benefit",0.285547785547785
21,"Alternative: 35% vs 30%","e-RTb design directional",405,"benefit",0.158270732066578
21,"Alternative: 35% vs 30%","e-RTb mixture two-sided",1127,"benefit",0.0808671843949711
22,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.19538640366414
22,"Alternative: 35% vs 30%","Pocock two-sided",897,"benefit",2.40213212809631
22,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.9216685811015
22,"Alternative: 35% vs 30%","LD-OBF K3 two-sided a=0.05",1793,"benefit",3.19538640366414
