"sim","scenario","threshold","bayes_method","ert_method","bayes_first_crossing","ert_first_crossing","combined_first_crossing","bayes_only","ert_only","both","neither"
3638,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3638,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3638,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3638,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3639,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3639,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3639,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3639,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3639,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3639,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3639,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3639,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3639,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3639,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3639,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3639,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3639,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3639,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3640,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3640,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3640,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3640,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3640,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3640,"Null: 35% vs 35%",0.985,"Bayes scheduled Pr(benefit)>0.9850","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3640,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3640,"Null: 35% vs 35%",0.99,"Bayes scheduled Pr(benefit)>0.9900","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3640,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3640,"Null: 35% vs 35%",0.995,"Bayes scheduled Pr(benefit)>0.9950","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3640,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3640,"Null: 35% vs 35%",0.9954,"Bayes scheduled Pr(benefit)>0.9954","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3640,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3640,"Null: 35% vs 35%",0.999,"Bayes scheduled Pr(benefit)>0.9990","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3641,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3641,"Null: 35% vs 35%",0.975,"Bayes scheduled Pr(benefit)>0.9750","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3641,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb adaptive",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
3641,"Null: 35% vs 35%",0.98,"Bayes scheduled Pr(benefit)>0.9800","e-RTb design directional",NA,NA,NA,FALSE,FALSE,FALSE,TRUE
