"sim","scenario","method","first_crossing","direction","statistic_at_crossing","effect_at_crossing","final_effect","type_m"
19,"Alternative: 35% vs 30%","e-RTb design directional",1097,"benefit",0.0729029073103043,0.0729029073103043,0.0496968196047626,1.46695317507436
20,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA,NA,0.0352201549899086,NA
20,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA,NA,0.0352201549899086,NA
20,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA,NA,0.0352201549899086,NA
20,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0352201549899086,NA
20,"Alternative: 35% vs 30%","e-RTb design directional",2114,"benefit",0.0513578938321828,0.0513578938321828,0.0352201549899086,1.45819613363138
21,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",2.92136290694184,0.0638453914273475,0.0711416588796431,0.897440296343955
21,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",2.92136290694184,0.0638453914273475,0.0711416588796431,0.897440296343955
21,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",3.98864566591502,0.0711416588796431,0.0711416588796431,1
21,"Alternative: 35% vs 30%","e-RTb adaptive",131,"benefit",0.285547785547785,0.285547785547785,0.0711416588796431,4.01379149776185
21,"Alternative: 35% vs 30%","e-RTb design directional",405,"benefit",0.158270732066578,0.158270732066578,0.0711416588796431,2.22472647614726
22,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.19538640366414,0.071519256764326,0.0533204715211152,1.34130953316877
22,"Alternative: 35% vs 30%","Pocock two-sided",897,"benefit",2.40213212809631,0.0772311212814644,0.0533204715211152,1.4484328266092
22,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.9216685811015,0.0533204715211152,0.0533204715211152,1
22,"Alternative: 35% vs 30%","e-RTb adaptive",1843,"benefit",0.0772470057199933,0.0772470057199933,0.0533204715211152,1.4487307316741
22,"Alternative: 35% vs 30%","e-RTb design directional",774,"benefit",0.0923477564102564,0.0923477564102564,0.0533204715211152,1.73193810511758
23,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",3.47053705612055,0.0780893003807958,0.0775131291948162,1.00743320766385
23,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",3.47053705612055,0.0780893003807958,0.0775131291948162,1.00743320766385
23,"Alternative: 35% vs 30%","Haybittle-Peto",1793,"benefit",3.47053705612055,0.0780893003807958,0.0775131291948162,1.00743320766385
23,"Alternative: 35% vs 30%","e-RTb adaptive",1643,"benefit",0.0715524396751055,0.0715524396751055,0.0775131291948162,0.92310090456122
23,"Alternative: 35% vs 30%","e-RTb design directional",1468,"benefit",0.0615681794964664,0.0615681794964664,0.0775131291948162,0.794293562084498
24,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA,NA,0.0271125763968122,NA
24,"Alternative: 35% vs 30%","Pocock two-sided",NA,NA,NA,NA,0.0271125763968122,NA
24,"Alternative: 35% vs 30%","Haybittle-Peto",NA,NA,NA,NA,0.0271125763968122,NA
24,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0271125763968122,NA
24,"Alternative: 35% vs 30%","e-RTb design directional",NA,NA,NA,NA,0.0271125763968122,NA
25,"Alternative: 35% vs 30%","OBF two-sided",2690,"benefit",2.32471678160231,0.0420092304152355,0.0420092304152355,1
25,"Alternative: 35% vs 30%","Pocock two-sided",2690,"benefit",2.32471678160231,0.0420092304152355,0.0420092304152355,1
25,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",2.32471678160231,0.0420092304152355,0.0420092304152355,1
25,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0420092304152355,NA
25,"Alternative: 35% vs 30%","e-RTb design directional",2671,"benefit",0.0452712042401747,0.0452712042401747,0.0420092304152355,1.07764897839586
26,"Alternative: 35% vs 30%","OBF two-sided",1793,"benefit",2.93843112595432,0.0650354482545288,0.0545132261307423,1.1930214531525
26,"Alternative: 35% vs 30%","Pocock two-sided",1793,"benefit",2.93843112595432,0.0650354482545288,0.0545132261307423,1.1930214531525
26,"Alternative: 35% vs 30%","Haybittle-Peto",2690,"benefit",3.0014660700707,0.0545132261307423,0.0545132261307423,1
26,"Alternative: 35% vs 30%","e-RTb adaptive",NA,NA,NA,NA,0.0545132261307423,NA
26,"Alternative: 35% vs 30%","e-RTb design directional",1477,"benefit",0.062043876088634,0.062043876088634,0.0545132261307423,1.13814353859429
27,"Alternative: 35% vs 30%","OBF two-sided",NA,NA,NA,NA,0.0119444839141459,NA
